outstanding,positif
gorgeous,positif
perfect,positif
superior,positif
wonderful,positif
best,positif
superb,positif
great,positif
wonderfully,positif
excellent,positif
happy,positif
beautiful,positif
pain,negatif
destroys,negatif
die,negatif
hate,negatif
horrific,negatif
horrific,negatif
light,netral
durable-seeming,netral
real,netral
inconsistent,netral
2mp,netral
was,netral
intelliflash,netral
high-end,netral
interesting,netral
uncommon,netral
inconvenient,netral
compatible,netral
same,netral
effective,netral
first,netral
turned-on,netral
narrow,netral
single-lens,netral
detial,netral
low,netral
advanced,netral
meaningless,netral
funny,netral
shutter-like,netral
ebay,netral
avid,netral
nearest,netral
central,netral
able,netral
little,netral
big,netral
new,netral
optical,netral
front,netral
8mb,netral
clear,netral
exact,netral
digital,netral
compactflash,netral
single,netral
whole,netral
longest,netral
highest,netral
only,netral
ready,netral
such,netral
own,netral
wide,netral
steady,netral
pricy,netral
coolest,netral
personal,netral
waterproof,netral
two-times,netral
extra,netral
fanatic,netral
nice,netral
dark,netral
192mb,netral
sharp,netral
bulky,netral
standard,netral
wrong,netral
ok,netral
2-megapixel,netral
difficult,netral
colored,netral
total,netral
smallest,netral
slow,netral
other,netral
distinctive,netral
smaller,netral
right,netral
spare,netral
normal,netral
popular,netral
hot,netral
red,netral
second,netral
astounding,netral
12-day,netral
candid,netral
near,netral
pictures,netral
simple,netral
35-70mm,netral
virtual,netral
reasonable,netral
small,netral
dissapointing,negatif
128mb,netral
possible,netral
toy,netral
stylish,netral
on-camera,netral
easy,netral
soft,netral
professional,netral
backlit,netral
hi-tech,netral
enough,netral
ceramic,netral
closest,netral
software,netral
sure,netral
bright,netral
large,netral
larger,netral
compact,netral
reflex,netral
high,netral
fuzzy,netral
many,netral
useful,netral
high-quality,netral
but,netral
interested,netral
squirmy,netral
complete,netral
dense,netral
picture,netral
dynamic,netral
exquisite,netral
impressed,netral
2x,netral
ultra-portable,netral
quick,netral
tiny,netral
fine,netral
acceptable,netral
due,netral
darkened,netral
white-led,netral
diminutive,netral
crisp,netral
last,netral
rugged,netral
deal,netral
long,netral
photo-quality,netral
instant,netral
years,netral
64mb,netral
onthe,netral
portable,netral
fancy,netral
additional,netral
35-mm,netral
cool,netral
complaint,netral
major,netral
much,netral
intuitive,netral
latter,netral
600kb,netral
worth,netral
automatic,netral
results,netral
decent,netral
reluctant,netral
white,netral
traditional,netral
slightest,netral
attactive,netral
panoramic,netral
regular,netral
future,netral
two-piece,netral
expensive,netral
next,netral
solid,netral
pro,netral
impossible,netral
few,netral
photo,netral
noisy,netral
critical,netral
excellent,positif
true,positif
best-built,netral
good,positif
manual,netral
intermediate,netral
fingers,netral
extensive,netral
